macro,value,source,formula,notes
MetricRtlCpuOnlyTimeUs,734.4,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/bench_paper/poseidon2_rtl_winners.json,table_rows[CPU].cfg_cc / 250,
MetricRtlCpuOnlyTotalEnergyUJ,4.588,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/bench_paper/poseidon2_rtl_winners.json,table_rows[CPU].energy_uj,
MetricRtlCpuPowerModelMW,2.5,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/bench_paper/poseidon2_rtl_winners.json,metadata.cpu_power_mw,Fixed CPU reference power model applied to active-cycle counts.
MetricRtlHybridCC,"67{,}717",/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/bench_paper/poseidon2_rtl_winners.json,table_rows[F].cfg_cc,
MetricRtlHybridCgraEnergyUJ,1.390,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/bench_paper/poseidon2_rtl_winners.json,table_rows[F].cgra_energy_uj,
MetricRtlHybridCpuEnergyUJ,0.021,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/bench_paper/poseidon2_rtl_winners.json,table_rows[F].cpu_host_energy_uj,
MetricRtlHybridEEKpermPerJ,708.6,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/bench_paper/poseidon2_rtl_winners.json,1000 / table_rows[F].energy_uj,
MetricRtlHybridEnergyReductionPct,69.2,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/bench_paper/poseidon2_rtl_winners.json,table_rows[F].energy_reduction_pct,
MetricRtlHybridSpeedupReal,1.08,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/bench_paper/poseidon2_rtl_winners.json,table_rows[F].speedup_real,
MetricRtlHybridTimeUs,677.2,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/bench_paper/poseidon2_rtl_winners.json,table_rows[F].cfg_cc / 100,
MetricRtlHybridTotalEnergyUJ,1.411,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/bench_paper/poseidon2_rtl_winners.json,table_rows[F].energy_uj,
MetricSboxCastmCC,539,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,summary[OpenEdgeDSL].n_cc_canonical,
MetricSboxCastmCsvBundleCount,73,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/primitives/sbox_x7_mod/instructions.csv,count(numeric header lines in instructions.csv),Count of bundle header blocks in the CASTM-generated instructions.csv.
MetricSboxCastmCsvLastBundleIndex,72,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/primitives/sbox_x7_mod/instructions.csv,max(int(line) for numeric header lines in instructions.csv),"Bundle headers are zero-based, so the last visible header is an index, not the bundle count."
MetricSboxCastmCsvLines,365,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/primitives/sbox_x7_mod/instructions.csv,len(instructions.csv.splitlines()),Physical visible line count of the compiled CASTM CSV.
MetricSboxCastmCycleReductionPct,20.5,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,100 * (1 - summary[OpenEdgeDSL].n_cc_canonical / summary[Manual-k7].n_cc_canonical),
MetricSboxCastmDispatches,1,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,summary[OpenEdgeDSL].dispatches_canonical,
MetricSboxCastmEnergyNJ,4.65,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,1000 * summary[OpenEdgeDSL].energy_uj_corrected_canonical,
MetricSboxCastmEnergyUJ,0.005,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,summary[OpenEdgeDSL].energy_uj_corrected_canonical,
MetricSboxCastmIdleArithmeticPct,60.0,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/primitives/sbox_x7_mod/instructions.csv,100 * total_idle_slots / total_slots,Arithmetic idle ratio from per-bundle NOP counts in instructions.csv.
MetricSboxCastmIdlePct,41.7,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/primitives/sbox_x7_mod/instructions.csv,100 * (exp(mean(log(idle_slots_per_bundle + 1))) - 1) / 16,Bundle-level geometric mean idle ratio with +1 smoothing on idle-slot counts.
MetricSboxCastmKernelNB,73,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/primitives/sbox_x7_mod/instructions.csv,count(numeric header lines in instructions.csv),Static bundle count of the compiled CASTM kernel.
MetricSboxCastmNB,73,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/primitives/sbox_x7_mod/instructions.csv,count(numeric header lines in instructions.csv),CASTM number of bundles taken directly from the compiled instructions.csv.
MetricSboxCastmPowerMW,0.86,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,summary[OpenEdgeDSL].power_uw_corrected_canonical / 1000,
MetricSboxCastmSmulPct,4.1,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,ops_profile_summary[OpenEdgeDSL].smul_pct,
MetricSboxCastmSpeedupVsManual,1.26,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,summary[Manual-k7].n_cc_canonical / summary[OpenEdgeDSL].n_cc_canonical,
MetricSboxCompigraCC,"3{,}544",/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,summary[Compigra-real-unified].n_cc_canonical,
MetricSboxCompigraCsvBundleCount,"2{,}564",/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/compigra/combined_sbox_x7_instructions.csv,count(numeric header lines in combined_sbox_x7_instructions.csv),Count of bundle header blocks in the combined Compigra schedule CSV.
MetricSboxCompigraCsvLastBundleIndex,"2{,}563",/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/compigra/combined_sbox_x7_instructions.csv,max(int(line) for numeric header lines in combined_sbox_x7_instructions.csv),"Bundle headers are zero-based, so the last visible header is an index, not the bundle count."
MetricSboxCompigraCsvLines,"12{,}820",/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/compigra/combined_sbox_x7_instructions.csv,len(combined_sbox_x7_instructions.csv.splitlines()),Physical visible line count of the combined Compigra CSV.
MetricSboxCompigraDispatches,244,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,summary[Compigra-real-unified].dispatches_canonical,
